<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.27	136890	138465	136115	137555	16147663	54283782	1
2025.05.04	136975	139620	134675	138220	19782879	69232846	1
2025.05.11	140305	141360	138060	140325	19536029	65417641	1
2025.05.18	140000	141740	135175	138830	21621466	70645220	1
2025.05.25	139200	141625	137535	138020	20156792	60707580	1
2025.06.01	138110	139570	136150	136800	21461330	63468443	1
2025.06.08	136775	138245	134520	137285	24068430	70140204	1
2025.06.15	137600	142471	137550	139710	17539543	50415536	1
2025.06.22	139695	140670	137735	139335	21855534	66122241	1
2025.06.29	139250	143825	138025	143815	21419103	65997403	1
2025.07.06	143360	143415	136755	137615	16185033	71250315	0
2025.07.13	137370	137720	134310	134725	15970966	69681093	0
2025.07.20	134140	136800	134040	134280	20493681	64917503	1
2025.07.27	134210	135870	132335	132990	23975408	76324522	1
2025.08.03	133400	137265	132600	136365	23764642	78891341	1
2025.08.10	136105	141493	135510	139395	21007489	69847877	1
2025.08.17	139295	140925	135900	140740	20529014	69662796	1
2025.08.24	140780	144775	139450	144095	20566437	69701314	1
2025.08.31	143905	145465	141550	144650	21739517	71992529	1
2025.09.07	144850	145695	142965	144165	21878110	74140812	1
2025.09.14	144150	147895	143930	146840	24906639	80799973	1
2025.09.21	146675	149000	145240	146360	22713015	75226290	1
2025.09.28	146635	149095	144210	144670	22280914	75691796	1
2025.10.05	144860	145335	140055	140350	24540646	83105955	1
2025.10.12	141550	146545	141480	146450	25743605	83728407	1
2025.10.19	146320	150095	146250	148815	23896764	77414063	1
2025.10.26	150075	152245	149065	152225	21811468	73562681	1
2025.11.02	152225	156570	151750	156240	24057758	80747248	1
2025.11.09	157100	160605	156670	159310	25171478	87523106	1
2025.11.16	159585	159670	155025	156440	21032766	68937325	1
2025.11.23	156750	160840	155930	160100	22383244	73663743	1
2025.11.30	160000	165785	157465	158325	28055047	92621498	1
2025.12.07	160090	161610	155630	161030	30685050	103412670	1
2025.12.14	161575	165016	159610	161600	27107087	86308703	1
2025.12.21	162055	164120	160150	164050	12887071	42440644	1
2025.12.28	163850	165040	162355	162700	12845777	41580781	1
2026.01.04	163160	166655	162565	165220	23971737	80458686	1
