<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.03	15:00:00	180187	180568	180143	180480	38446	145431	1
2021.08.03	15:03:00	180480	180663	180443	180605	26584	103879	1
2021.08.03	15:06:00	180597	180781	180590	180707	25429	94319	1
2021.08.03	15:09:00	180707	180964	180700	180927	33686	127039	1
2021.08.03	15:12:00	180927	181008	180649	180707	28884	109499	1
2021.08.03	15:15:00	180715	180913	180502	180788	38706	142681	1
2021.08.03	15:18:00	180795	180803	180590	180693	19652	72043	1
2021.08.03	15:21:00	180685	180781	180546	180627	19589	73144	1
2021.08.03	15:24:00	180627	180876	180597	180803	22361	84768	1
2021.08.03	15:27:00	180803	180957	180795	180949	17917	73794	1
2021.08.03	15:30:00	180949	181001	180854	180957	15501	65820	1
2021.08.03	15:33:00	180964	181081	180817	180861	30718	122605	1
2021.08.03	15:36:00	180861	180861	180656	180781	22221	89227	1
2021.08.03	15:39:00	180788	180979	180781	180847	22389	89291	1
2021.08.03	15:42:00	180839	181191	180839	181155	30716	130847	1
2021.08.03	15:45:00	181155	181228	180957	181118	28913	111061	1
2021.08.03	15:48:00	181118	181155	180935	181067	24019	101161	1
2021.08.03	15:51:00	181067	181096	180920	180957	16397	72282	1
2021.08.03	15:54:00	180957	181118	180920	181001	18942	79494	1
2021.08.03	15:57:00	181001	181089	180759	180891	23596	96032	1
2021.08.03	16:00:00	180891	181433	180839	181301	43092	177501	1
2021.08.03	16:03:00	181301	181470	181265	181426	21596	87219	1
2021.08.03	16:06:00	181426	181448	181235	181301	20590	77540	1
2021.08.03	16:09:00	181301	181411	181184	181250	18846	73400	1
2021.08.03	16:12:00	181243	181382	181155	181367	20372	82577	1
2021.08.03	16:15:00	181367	181844	181294	181726	42271	166958	1
2021.08.03	16:18:00	181726	181807	181499	181506	24505	94955	1
2021.08.03	16:21:00	181514	181660	181506	181616	15387	57676	1
2021.08.03	16:24:00	181609	181624	181338	181375	23468	87578	1
2021.08.03	16:27:00	181375	181609	181367	181587	18803	76745	1
2021.08.03	16:30:00	181580	181580	181375	181455	18121	64448	1
2021.08.03	16:33:00	181455	181543	181433	181455	11320	45787	1
2021.08.03	16:36:00	181455	181470	181257	181331	19298	69218	1
2021.08.03	16:39:00	181331	181506	181301	181462	17623	68589	1
2021.08.03	16:42:00	181462	181499	181096	181111	23258	82073	1
2021.08.03	16:45:00	181111	181199	180957	180993	32407	114267	1
2021.08.03	16:48:00	180993	181309	180993	181279	23990	92774	1
2021.08.03	16:51:00	181279	181353	181243	181279	14755	57546	1
2021.08.03	16:54:00	181279	181411	181169	181397	24375	95940	1
2021.08.03	16:57:00	181404	181448	181360	181426	13337	53266	1
2021.08.03	17:00:00	181419	181433	181272	181345	14017	47913	1
2021.08.03	17:03:00	181345	181397	181316	181338	6769	26044	1
2021.08.03	17:06:00	181338	181484	181301	181397	11971	49149	1
2021.08.03	17:09:00	181404	181440	181125	181169	18269	62804	1
2021.08.03	17:12:00	181169	181221	181023	181125	13026	43564	1
2021.08.03	17:15:00	181125	181279	181059	181257	15722	54477	1
