<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.31	146225	148014	146002	147749	4137386	13541002	1
2023.08.01	147231	147249	145424	146502	4689718	15957846	1
2023.08.02	145792	146779	144870	145930	4940114	16571610	1
2023.08.03	147249	148363	145274	145400	5771784	19282399	1
2023.08.04	145370	146882	143997	144406	5879826	20179400	1
2023.08.07	144744	145147	143623	143985	4803999	15450774	1
2023.08.08	142955	144412	141678	143648	5147964	16655418	1
2023.08.09	144238	144238	142256	142889	5070931	17351600	1
2023.08.10	143467	144184	142250	142250	4912495	16501203	1
2023.08.11	142563	143660	141600	142491	4792807	16541002	1
2023.08.14	142347	142419	140510	140588	4704275	15891574	1
2023.08.15	139817	141780	139329	139450	5276749	17743934	1
2023.08.16	139881	141321	138835	139148	4876586	16616968	1
2023.08.17	140022	140377	138162	138475	4845278	16523833	1
2023.08.18	138168	139243	137690	138493	4719604	16108385	1
2023.08.21	139178	139190	137117	137141	4712619	16153061	1
2023.08.22	137944	139822	137708	139762	4521408	15736979	1
2023.08.23	140318	142314	139668	142243	4030587	14214609	1
2023.08.24	141835	141959	140211	140684	4349017	15506031	1
2023.08.25	140571	140790	138475	139007	5077880	16398061	1
2023.08.28	139355	140760	138841	140589	4506074	15257407	1
2023.08.29	140447	142148	140335	141812	4306027	14375830	1
2023.08.30	141623	142426	140648	140814	4251834	14029812	1
2023.08.31	140896	141221	138629	139054	4558889	15253913	1
2023.09.01	139833	141268	139125	140619	4106971	13165812	1
2023.09.04	140896	141882	140595	141056	3611824	11184567	1
2023.09.05	140607	141103	139438	140601	4897968	16674442	1
2023.09.06	140424	141014	138463	138605	4558333	15765456	1
2023.09.08	137377	138139	137034	137708	3667426	12422429	1
2023.09.11	138670	140005	138115	139999	4271752	14975492	1
2023.09.12	139999	141121	139703	140583	4178590	14879510	1
2023.09.13	140489	142497	140259	141127	4489960	15662265	1
2023.09.14	141841	142839	141629	142172	4329638	15363893	1
2023.09.15	142609	142880	141434	141705	3904531	14137207	1
2023.09.18	141428	142414	140731	141239	4110542	14702164	1
2023.09.19	141345	141386	140093	140365	4471861	16706060	1
2023.09.20	140583	142550	140507	141168	4528975	17011184	1
2023.09.21	140188	140205	137950	138044	5006705	17787193	1
2023.09.22	138723	139355	137749	138310	4120142	15385027	1
2023.09.25	137471	138333	137206	138186	3775526	13538750	1
2023.09.26	137648	137879	135446	135588	4535078	17016650	1
2023.09.27	136290	136993	134619	135782	4701260	17250284	1
2023.09.28	135818	137731	135458	137672	5021479	17370812	1
2023.09.29	138139	139042	137483	138446	4602605	16242065	1
2023.10.02	138180	138528	136090	136503	4455364	16238939	1
2023.10.03	135818	136438	134111	134188	5242429	18887900	1
2023.10.04	134979	135322	133952	134377	4968254	17412423	1
2023.10.05	134637	135487	133491	134342	4767676	16691112	1
2023.10.06	134401	135576	132109	135464	6020766	20323637	1
2023.10.09	134188	136639	133975	136633	4726676	16853526	1
2023.10.10	136881	138393	136698	137896	4435123	15981873	1
2023.10.11	138528	139001	137454	138658	4517606	16081999	1
2023.10.13	137353	138398	136627	136851	4634014	16105059	1
2023.10.16	137471	138221	137111	137495	4561649	15965669	1
2023.10.17	137164	138144	136479	136668	4874186	17538195	1
2023.10.18	136261	136552	134575	134633	4808053	17778174	1
2023.10.19	134516	135994	134406	134545	5777609	20984495	1
2023.10.20	134307	134720	132818	133493	5089468	19331478	1
2023.10.23	132935	134197	132347	133313	5266535	18819558	1
2023.10.24	134220	134761	133010	134284	5533532	19966545	1
2023.10.25	134226	134569	132807	132958	5227366	18272696	1
2023.10.26	132388	135802	132225	135761	5941031	20297000	1
2023.10.27	135697	135924	132993	133714	5660851	20495892	1
2023.10.30	134400	134819	132132	132365	5120808	18556407	1
2023.10.31	132888	133737	131917	133377	5463260	19838003	1
2023.11.01	133214	135976	132853	135976	5526831	19604556	1
2023.11.03	136976	139431	136918	139326	4579069	16556260	1
2023.11.06	139169	139721	138750	139413	4336961	16071165	1
2023.11.07	138820	140594	138407	140094	4582263	17359528	1
2023.11.08	139820	141018	139186	139989	4798574	18560944	1
2023.11.09	140210	141280	139024	139919	5198184	19897899	1
2023.11.10	140210	141914	139937	141728	4540285	16495042	1
2023.11.13	141385	141507	140582	141455	4045251	15403370	1
2023.11.14	141408	145147	141379	144944	4370829	15513570	1
2023.11.16	144781	146357	144374	146357	4779619	17572742	1
2023.11.17	146363	147067	145933	146433	4168249	14846870	1
2023.11.20	146747	147852	146375	147834	3773003	13700890	1
2023.11.21	147474	147706	146404	147165	4294576	15725957	1
2023.11.22	147276	148567	146840	147549	4731220	17252696	1
2023.11.23	147253	148352	147008	148294	2765295	9646998	1
2023.11.24	148125	148137	146601	146950	3428915	12444093	1
2023.11.27	146665	147305	145956	147113	4189995	15239549	1
2023.11.28	146689	148329	146508	147951	4083025	15741785	1
2023.11.29	148183	148747	147096	147363	4029889	15919642	1
2023.11.30	147718	148840	147282	148666	4017501	15156871	1
2023.12.01	148986	149637	147799	149422	4347495	15748826	1
2023.12.04	148806	149108	147730	148079	3992914	14238413	1
2023.12.05	147834	148718	147462	147834	4845900	17622156	1
2023.12.06	148294	148742	146247	146247	4480112	16200051	1
2023.12.07	146479	147526	146270	146898	4188123	15447826	1
2023.12.08	147038	148294	146171	147997	4731228	17179789	1
2023.12.11	147863	148067	147212	147910	3787664	14751038	1
2023.12.12	148195	148404	146566	147165	3707376	13090538	1
2023.12.13	147165	151322	146737	151191	4507385	16447814	1
2023.12.14	151665	152495	151414	151991	4003439	14690348	1
2023.12.15	152209	152963	150871	151317	3744140	13354481	1
2023.12.18	151465	152660	151460	152226	3153119	11574534	1
2023.12.19	152266	153289	152106	153226	3413269	13178485	1
2023.12.20	152792	153609	151557	151785	4118613	15047630	1
2023.12.21	152523	153512	152403	153512	4016533	13939621	1
2023.12.22	153352	154290	153135	153804	3174815	12202311	1
2023.12.26	154107	155010	153832	154930	2378748	8306871	1
2023.12.27	154839	155639	154461	155605	2760075	10458214	1
2023.12.28	155273	155622	154867	155353	2784718	10267608	1
2024.01.02	154667	154782	152723	153501	3568454	13305027	1
2024.01.03	153152	154553	152803	153924	4107990	15073372	1
2024.01.04	153981	154055	151397	151557	3906477	15293579	1
2024.01.05	151305	153284	150768	152689	4426059	16306184	1
2024.01.08	151911	153295	151299	153295	4084867	14758201	1
2024.01.09	152655	152660	151362	151591	4214360	15576365	1
2024.01.10	151751	152163	150488	150848	3953211	14660612	1
2024.01.11	151008	151442	149750	150642	5004226	16728166	1
2024.01.12	150470	152140	150242	150956	3877112	13949687	1
2024.01.15	150602	151900	150104	151711	2873633	11028652	1
2024.01.16	150888	150962	148681	148744	4608517	17370760	1
2024.01.17	148206	148852	147497	147714	4040349	14884381	1
2024.01.18	148355	148892	146422	146434	3975775	15638453	1
2024.01.19	147165	147394	145570	146662	3818398	15149923	1
2024.01.22	146891	147114	144753	145519	4121374	16149291	1
2024.01.23	145919	147697	145782	147554	4176060	16238152	1
2024.01.24	148389	148909	146662	146737	4218248	16980033	1
2024.01.25	147223	147880	146834	147143	3979567	15311796	1
2024.01.26	147663	148441	146800	147892	4025513	14837224	1
2024.01.29	148240	148269	146742	147634	4072215	15252431	1
2024.01.30	147314	147817	145799	145988	4278548	16844846	1
2024.01.31	145913	148732	145839	146365	4916277	19415109	1
2024.02.01	146931	147463	145856	147280	4399349	16947221	1
2024.02.02	147560	147840	145073	145896	4196870	16412114	1
2024.02.05	145599	146462	144787	146148	4043589	15958333	1
