<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.18	482200.00	495980.00	467300.00	472360.00	129622	728102	1
2025.12.19	488000.00	493120.00	480620.00	486740.00	97463	455768	1
2025.12.22	499060.00	503540.00	491280.00	494740.00	98444	562113	1
2025.12.23	496670.55	499002.24	488114.26	491480.00	74173	350861	1
2025.12.26	496620.00	501700.00	484240.00	491360.00	56535	309991	1
2025.12.29	491000.00	497440.00	488300.00	492220.00	66529	342284	1
2025.12.30	494200.00	497620.00	486780.00	488280.00	72796	381175	1
2026.01.02	496920.00	499500.00	485820.00	493020.00	81908	484523	1
2026.01.05	510260.00	518560.00	507320.00	513680.00	85481	467951	1
2026.01.06	513680.00	514540.00	494700.00	507260.00	104961	614240	1
2026.01.07	498000.00	501200.00	492620.00	495440.00	86605	480862	1
2026.01.08	490000.00	497100.00	484960.00	494800.00	89465	513004	1
2026.01.09	491720.00	497240.00	485600.00	489460.00	92799	526186	1
