<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.02	118.65	119.69	117.09	117.13	454262	22098424	1
2024.06.09	117.11	118.87	115.37	116.22	597744	35883783	1
2024.06.16	115.98	118.14	115.23	118.02	671021	34113420	1
2024.06.23	118.30	120.92	117.94	120.38	532336	22885805	1
2024.06.30	120.54	123.14	120.16	122.70	644067	30338121	1
2024.07.07	122.67	125.40	122.05	125.20	508712	25489163	1
2024.07.14	125.50	125.99	123.86	124.00	458862	34095246	1
2024.07.21	124.11	124.59	122.09	123.98	431453	26468029	1
2024.07.28	123.92	125.26	122.20	122.38	441253	21772840	1
2024.08.04	119.88	127.13	117.94	127.13	470970	25829843	1
2024.08.11	127.67	131.17	127.52	130.29	686945	45091100	1
2024.08.18	130.96	133.28	130.82	131.98	529210	28363719	1
2024.08.25	132.45	133.78	131.21	132.60	696923	24627081	1
2024.09.01	131.97	133.20	130.52	130.96	477192	17726070	1
2024.09.08	131.00	132.23	130.00	131.21	330516	19865646	1
2024.09.15	131.69	132.07	127.35	127.63	632329	33724079	1
2024.09.22	127.24	130.33	126.61	129.04	568941	29710693	1
2024.09.29	129.84	131.33	127.60	128.20	513736	32554039	1
2024.10.06	129.22	129.43	125.86	126.47	574543	30148806	1
2024.10.13	126.50	128.65	126.20	127.00	404912	28411523	1
2024.10.20	127.36	127.62	125.17	126.35	452108	22952611	1
2024.10.27	127.10	128.23	124.58	124.60	493688	20156290	1
2024.11.03	125.81	127.83	123.58	124.50	464990	33370126	1
2024.11.10	124.05	125.05	123.50	124.27	376311	19498972	1
2024.11.17	124.09	126.02	123.24	126.02	448285	23362147	1
2024.11.24	125.90	126.91	120.66	122.32	629021	38491060	1
2024.12.01	121.78	124.68	121.43	122.46	505256	32100923	1
2024.12.08	123.30	127.36	121.32	121.63	493231	29166133	1
2024.12.15	121.70	122.20	117.35	119.05	761524	43581629	1
2024.12.22	118.60	118.60	117.02	117.26	340535	17709546	1
2024.12.29	117.43	118.00	115.35	115.45	209608	18694695	1
2025.01.05	116.67	118.64	115.77	115.96	521695	26066554	1
2025.01.12	116.02	119.92	115.26	119.25	938522	32031128	1
2025.01.19	118.93	120.91	118.44	119.45	521751	25546555	1
2025.01.26	119.17	124.40	119.17	123.00	799983	41395613	1
2025.02.02	122.89	123.95	121.17	121.48	481369	25192902	1
2025.02.09	123.84	125.33	120.68	124.87	560016	35167374	1
2025.02.16	125.28	126.37	123.33	123.94	536463	23959406	1
2025.02.23	124.20	124.28	119.62	120.01	735246	22189171	1
2025.03.02	120.01	122.77	119.30	121.95	165351	12272696	1
2025.03.09	121.03	126.08	119.60	125.75	368379	25333114	1
2025.03.16	126.00	129.86	125.84	128.98	621743	28657665	1
2025.03.23	128.63	130.59	127.80	128.69	489962	33430437	1
2025.03.30	127.93	129.44	123.47	124.05	690415	38732859	1
2025.04.06	122.81	125.78	120.06	124.72	472113	31247140	1
2025.04.13	126.22	127.06	124.91	126.53	339652	29057053	1
2025.04.20	126.25	131.82	125.60	131.49	494014	32915376	1
2025.04.27	131.59	132.92	130.73	131.85	320013	33191296	1
2025.05.04	131.79	134.47	129.72	133.24	360184	23998516	1
2025.05.11	134.28	136.44	133.14	136.11	484020	42808390	1
2025.05.18	135.70	137.05	131.80	134.47	319280	22706987	1
2025.05.25	134.56	137.19	133.51	133.99	360990	22182173	1
2025.06.01	135.03	135.64	132.49	133.06	339807	25691367	1
2025.06.08	132.61	134.85	131.07	133.99	487726	25864849	1
2025.06.15	135.17	136.87	133.74	133.90	424510	28158569	1
2025.06.22	134.03	135.06	132.52	133.79	513201	32818190	1
2025.06.29	133.56	138.45	133.41	138.13	384251	20563440	1
2025.07.06	138.05	138.09	132.53	133.40	303767	25006228	0
2025.07.13	132.88	132.97	130.30	130.30	311302	27131336	0
2025.07.20	130.65	132.76	129.99	130.45	394454	19510788	1
2025.07.27	130.50	132.20	128.70	129.57	362018	22079862	1
2025.08.03	130.74	133.95	129.54	132.91	293940	23284097	1
2025.08.10	132.53	135.36	132.45	133.56	337226	31242529	1
2025.08.17	133.79	135.27	131.00	135.15	297477	22816945	1
2025.08.24	135.74	139.38	134.17	138.50	298520	29339824	1
2025.08.31	138.70	140.40	136.61	139.65	278282	21733931	1
