<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.09	107.54	108.58	107.28	108.40	47860	8402232	1
2022.09.12	109.60	110.19	109.30	109.55	43074	4465282	1
2022.09.13	107.94	108.85	106.61	106.98	64804	5064716	1
2022.09.14	106.69	107.59	106.22	106.75	42769	3650114	1
2022.09.15	106.76	107.26	105.62	106.11	36382	4790495	1
2022.09.16	105.19	105.76	104.72	105.60	93122	8915799	1
2022.09.19	104.83	108.22	104.66	108.22	75504	6620149	1
2022.09.20	108.50	108.85	107.45	108.85	77456	7464183	1
2022.09.21	108.90	109.42	107.41	108.16	68341	9378078	1
2022.09.22	109.58	110.47	107.88	110.13	159636	7085594	1
2022.09.23	108.21	108.54	106.84	107.84	67994	6406727	1
2022.09.26	107.00	107.33	105.13	105.13	89155	8072060	1
2022.09.27	106.45	106.45	104.34	104.68	70131	8212180	1
2022.09.28	104.62	105.21	104.07	104.82	54125	6309507	1
2022.09.29	103.71	104.36	102.43	103.80	56789	7227219	1
2022.09.30	103.64	106.70	103.51	106.46	92629	9230178	1
2022.10.03	110.00	112.40	109.33	112.40	83909	11174688	1
2022.10.04	114.02	114.14	111.76	112.35	103509	9079615	1
2022.10.05	112.62	113.48	111.82	113.32	70714	6244323	1
2022.10.06	113.59	114.47	113.01	113.47	61704	8497689	1
2022.10.07	112.97	113.89	111.96	112.78	60223	9119631	1
2022.10.10	112.89	113.05	111.28	112.08	33490	5751796	1
2022.10.11	111.49	111.87	110.29	110.89	51148	5329929	1
2022.10.13	109.27	111.45	108.75	110.26	54036	7730687	1
2022.10.14	110.36	110.72	107.67	108.22	48979	5649931	1
2022.10.17	108.77	110.39	108.41	109.90	46281	3774142	1
2022.10.18	111.25	111.94	110.18	111.94	74589	6492535	1
2022.10.19	111.73	112.44	111.27	112.35	51458	3791944	1
2022.10.20	113.19	113.33	112.40	112.90	82846	11377231	1
2022.10.21	113.00	116.61	112.63	116.43	132858	11922250	1
2022.10.24	114.57	114.57	111.80	112.14	98608	9855224	1
2022.10.25	111.70	112.24	110.48	110.48	93433	6907345	1
2022.10.26	109.55	110.43	108.70	108.78	73341	7707875	1
2022.10.27	109.80	112.53	109.10	110.00	80482	9077260	1
2022.10.28	109.84	113.00	109.34	113.00	151316	11119917	1
2022.10.31	108.47	112.78	108.25	112.15	135979	13927057	1
2022.11.01	113.16	114.19	111.44	112.81	148315	10005299	1
2022.11.03	111.36	113.35	110.40	113.10	90750	7905539	1
2022.11.04	115.34	115.91	113.95	114.00	120800	9554558	1
2022.11.07	113.39	114.14	111.16	111.22	114303	8490758	1
2022.11.08	110.72	113.17	110.61	112.30	108199	8043997	1
2022.11.09	111.21	112.50	109.14	109.75	83173	12347442	1
2022.11.10	107.00	108.68	104.65	106.10	184590	24101641	1
2022.11.11	106.10	109.24	105.75	108.55	146480	13538266	1
2022.11.14	109.58	110.43	108.08	109.24	81260	8737698	1
2022.11.16	109.24	109.44	105.62	106.04	104401	14252894	1
2022.11.17	104.90	105.93	103.53	105.69	157483	16978148	1
2022.11.18	107.09	107.78	104.65	104.85	129224	12027082	1
2022.11.21	106.00	106.45	104.20	106.08	177603	12565712	1
2022.11.22	106.35	106.60	104.11	105.07	64771	6812999	1
2022.11.23	104.65	105.60	104.18	105.24	75172	8097851	1
2022.11.24	105.90	108.86	105.79	108.20	83996	7266139	1
2022.11.25	107.80	107.96	104.82	105.07	91612	5237368	1
2022.11.28	105.14	105.76	104.64	105.15	52308	3984614	1
2022.11.29	105.87	108.44	105.51	107.29	108663	9506788	1
2022.11.30	107.10	108.58	106.39	108.58	90240	8921213	1
2022.12.01	107.77	108.20	106.71	107.06	115738	7068611	1
2022.12.02	107.57	109.90	106.14	107.95	72051	7884555	1
2022.12.05	107.70	108.15	105.50	105.63	64405	5817476	1
2022.12.06	106.50	106.88	105.42	106.74	74454	6254454	1
2022.12.07	105.99	106.48	104.84	105.59	68602	5449114	1
2022.12.08	105.06	105.55	103.19	103.57	75022	7512214	1
2022.12.09	104.23	104.92	103.39	103.90	67498	5248949	1
2022.12.12	103.75	103.97	100.30	101.80	151605	12417047	1
2022.12.13	102.26	103.77	100.01	100.30	138263	16354218	1
2022.12.14	99.30	101.16	98.30	100.70	171146	15092220	1
2022.12.15	99.94	102.20	99.55	100.50	166304	12770355	1
2022.12.16	100.45	100.64	98.81	99.40	146847	12318895	1
2022.12.19	99.90	101.64	99.45	101.37	118184	7735283	1
2022.12.20	100.78	104.50	100.78	103.55	115910	12871941	1
2022.12.21	104.16	104.94	102.40	103.87	131405	10176995	1
2022.12.22	104.00	104.77	102.89	103.93	83364	6292139	1
2022.12.23	104.60	106.26	104.31	106.00	66558	10608462	1
2022.12.26	105.66	105.74	104.57	105.15	49959	4382852	1
2022.12.27	105.77	105.77	103.71	104.90	76847	7378550	1
2022.12.28	105.37	107.00	105.11	106.80	46228	4198744	1
2022.12.29	107.17	107.50	105.76	105.95	41155	6193414	1
2023.01.02	104.36	104.45	102.29	102.63	57055	7559253	1
2023.01.03	103.00	103.00	100.35	100.48	93513	12193800	1
2023.01.04	101.21	102.18	100.40	101.92	98453	6682750	1
2023.01.05	102.54	104.27	101.83	104.27	58291	7304475	1
2023.01.06	104.48	105.80	104.20	105.50	51725	8766723	1
2023.01.09	104.94	106.32	104.68	105.35	60158	6371819	1
2023.01.10	104.85	107.54	104.72	107.18	58667	4848616	1
2023.01.11	107.40	109.10	107.11	109.10	297476	6164690	1
2023.01.12	108.50	109.19	106.94	108.26	59399	5880623	1
2023.01.13	106.94	107.64	106.69	107.35	62796	4742049	1
2023.01.16	106.95	106.95	105.13	105.47	52325	6905014	1
2023.01.17	106.24	107.98	106.22	107.80	38957	6647627	1
2023.01.18	108.83	109.60	108.33	108.33	88250	9405455	1
2023.01.19	107.70	109.54	107.61	109.11	63410	4378786	1
2023.01.20	109.11	109.15	108.01	108.45	53307	6269748	1
2023.01.23	108.89	109.33	107.88	107.90	54751	4401425	1
2023.01.24	108.71	109.43	107.97	109.43	64531	5724141	1
2023.01.25	109.00	110.68	108.21	110.65	58997	6427546	1
2023.01.26	110.70	111.10	109.86	110.42	53183	4382206	1
2023.01.27	110.28	110.29	108.34	108.40	49145	5294651	1
2023.01.30	109.01	109.32	108.13	108.70	41093	2905618	1
2023.01.31	108.71	109.96	108.71	109.84	56634	5733562	1
2023.02.01	109.49	109.86	107.06	108.40	63844	10380157	1
2023.02.02	107.49	109.27	106.06	106.30	83941	9555616	1
2023.02.03	106.15	106.91	104.54	104.87	69665	7873654	1
2023.02.06	104.88	105.25	103.90	105.25	76263	6121193	1
2023.02.07	105.39	105.39	103.70	104.10	79345	6129919	1
2023.02.08	105.03	106.62	104.80	106.34	74738	6153145	1
2023.02.09	106.33	106.45	104.26	104.44	103801	7418766	1
2023.02.10	104.16	105.13	104.10	104.75	47422	4772746	1
2023.02.13	104.36	105.63	103.92	105.47	61713	6785833	1
2023.02.14	105.85	106.06	104.05	104.43	63636	6320111	1
2023.02.15	104.19	108.00	103.62	106.05	121070	10598991	1
2023.02.16	105.48	106.82	104.75	106.50	87119	7290582	1
2023.02.17	105.75	106.27	105.36	105.56	62734	5465744	1
2023.02.22	104.09	104.09	103.18	103.60	52154	5373490	1
2023.02.23	103.71	105.18	103.15	104.15	67473	8952321	1
2023.02.24	104.00	104.06	101.87	102.38	62835	7548371	1
2023.02.27	102.71	103.02	101.80	102.29	59455	4632542	1
2023.02.28	102.34	103.34	101.15	101.15	89178	7211761	1
2023.03.01	101.91	101.94	99.71	101.20	100491	12453131	1
2023.03.02	100.88	101.56	99.94	99.94	78694	5860502	1
2023.03.03	100.30	101.15	100.22	100.42	61461	4266878	1
2023.03.06	100.83	101.81	99.77	101.47	98864	7003862	1
2023.03.07	101.48	101.78	100.12	100.90	60111	4824250	1
2023.03.08	101.20	103.30	101.12	103.22	67158	8866715	1
2023.03.09	103.00	103.24	101.56	101.56	122122	8497977	1
2023.03.10	100.95	101.60	99.82	100.21	96410	11620694	1
2023.03.13	99.21	100.59	98.91	99.78	70850	6003109	1
2023.03.14	99.85	100.83	99.14	99.58	79443	6853634	1
2023.03.15	97.99	99.73	97.42	99.39	83490	11008086	1
2023.03.16	99.35	100.54	99.10	100.00	120742	12085813	1
2023.03.17	99.37	99.37	98.27	98.85	67162	7469804	1
2023.03.20	98.77	99.00	97.37	97.70	211009	7689231	1
2023.03.21	97.98	98.37	97.62	97.93	51850	5178658	1
2023.03.22	97.59	98.70	96.82	97.03	103311	7362958	1
2023.03.23	97.50	97.91	93.81	94.58	85294	12215149	1
2023.03.24	95.01	96.16	94.60	95.86	49887	7502799	1
2023.03.27	96.65	96.80	95.84	96.54	38848	6461608	1
2023.03.28	96.30	98.34	96.14	98.03	101798	9348025	1
2023.03.29	98.43	98.95	96.96	98.55	46306	6869031	1
2023.03.30	99.94	100.76	99.33	100.47	57662	8836529	1
2023.03.31	100.38	100.76	98.22	98.49	64976	7723813	1
2023.04.03	98.75	98.75	97.36	98.30	68108	6568045	1
